labels,probs,chunk_id
Plutarch,0.005747126,Plutarch_Lycurgus-13
Plutarch,0.005747126,Plutarch_Lycurgus-14
Plutarch,0.005747126,Plutarch_Lycurgus-2
Plutarch,0.005747126,Plutarch_Lycurgus-3
Plutarch,0.005747126,Plutarch_Lycurgus-4
Plutarch,0.005747126,Plutarch_Lycurgus-5
Plutarch,0.005747126,Plutarch_Lycurgus-6
Plutarch,0.005747126,Plutarch_Lycurgus-7
Plutarch,0.005747126,Plutarch_Lycurgus-8
Plutarch,0.005747126,Plutarch_Lycurgus-9
Polybius,0.001474926,Polybius_Book1-1
Polybius,0.001474926,Polybius_Book1-10
Polybius,0.001474926,Polybius_Book1-11
Polybius,0.001474926,Polybius_Book1-12
Polybius,0.001474926,Polybius_Book1-13
Polybius,0.001474926,Polybius_Book1-14
Polybius,0.001474926,Polybius_Book1-15
Polybius,0.001474926,Polybius_Book1-16
Polybius,0.001474926,Polybius_Book1-17
Polybius,0.001474926,Polybius_Book1-18
Polybius,0.001474926,Polybius_Book1-19
Polybius,0.001474926,Polybius_Book1-2
Polybius,0.001474926,Polybius_Book1-20
Polybius,0.001474926,Polybius_Book1-21
Polybius,0.001474926,Polybius_Book1-22
Polybius,0.001474926,Polybius_Book1-23
Polybius,0.001474926,Polybius_Book1-24
Polybius,0.001474926,Polybius_Book1-25
Polybius,0.001474926,Polybius_Book1-26
Polybius,0.001474926,Polybius_Book1-27
Polybius,0.001474926,Polybius_Book1-28
Polybius,0.001474926,Polybius_Book1-29
Polybius,0.001474926,Polybius_Book1-3
Polybius,0.001474926,Polybius_Book1-30
Polybius,0.001474926,Polybius_Book1-31
Polybius,0.001474926,Polybius_Book1-32
Polybius,0.001474926,Polybius_Book1-33
Polybius,0.001474926,Polybius_Book1-34
Polybius,0.001474926,Polybius_Book1-35
Polybius,0.001474926,Polybius_Book1-36
Polybius,0.001474926,Polybius_Book1-4
Polybius,0.001474926,Polybius_Book1-5
Polybius,0.001474926,Polybius_Book1-6
Polybius,0.001474926,Polybius_Book1-7
Polybius,0.001474926,Polybius_Book1-8
Polybius,0.001474926,Polybius_Book1-9
Polybius,0.001474926,Polybius_Book10-1
Polybius,0.001474926,Polybius_Book10-10
Polybius,0.001474926,Polybius_Book10-11
Polybius,0.001474926,Polybius_Book10-12
Polybius,0.001474926,Polybius_Book10-13
Polybius,0.001474926,Polybius_Book10-14
Polybius,0.001474926,Polybius_Book10-15
Polybius,0.001474926,Polybius_Book10-16
Polybius,0.001474926,Polybius_Book10-17
Polybius,0.001474926,Polybius_Book10-18
Polybius,0.001474926,Polybius_Book10-19
Polybius,0.001474926,Polybius_Book10-2
Polybius,0.001474926,Polybius_Book10-3
Polybius,0.001474926,Polybius_Book10-4
Polybius,0.001474926,Polybius_Book10-5
Polybius,0.001474926,Polybius_Book10-6
Polybius,0.001474926,Polybius_Book10-7
Polybius,0.001474926,Polybius_Book10-8
Polybius,0.001474926,Polybius_Book10-9
Polybius,0.001474926,Polybius_Book2-1
Polybius,0.001474926,Polybius_Book2-10
Polybius,0.001474926,Polybius_Book2-11
Polybius,0.001474926,Polybius_Book2-12
Polybius,0.001474926,Polybius_Book2-13
Polybius,0.001474926,Polybius_Book2-14
Polybius,0.001474926,Polybius_Book2-15
Polybius,0.001474926,Polybius_Book2-16
Polybius,0.001474926,Polybius_Book2-17
Polybius,0.001474926,Polybius_Book2-18
Polybius,0.001474926,Polybius_Book2-19
Polybius,0.001474926,Polybius_Book2-2
Polybius,0.001474926,Polybius_Book2-20
Polybius,0.001474926,Polybius_Book2-21
Polybius,0.001474926,Polybius_Book2-22
Polybius,0.001474926,Polybius_Book2-23
Polybius,0.001474926,Polybius_Book2-24
Polybius,0.001474926,Polybius_Book2-25
Polybius,0.001474926,Polybius_Book2-26
Polybius,0.001474926,Polybius_Book2-27
Polybius,0.001474926,Polybius_Book2-3
Polybius,0.001474926,Polybius_Book2-4
Polybius,0.001474926,Polybius_Book2-5
Polybius,0.001474926,Polybius_Book2-6
Polybius,0.001474926,Polybius_Book2-7
Polybius,0.001474926,Polybius_Book2-8
Polybius,0.001474926,Polybius_Book2-9
Polybius,0.001474926,Polybius_Book21-1
Polybius,0.001474926,Polybius_Book21-10
Polybius,0.001474926,Polybius_Book21-11
Polybius,0.001474926,Polybius_Book21-12
Polybius,0.001474926,Polybius_Book21-13
Polybius,0.001474926,Polybius_Book21-14
Polybius,0.001474926,Polybius_Book21-15
Polybius,0.001474926,Polybius_Book21-16
Polybius,0.001474926,Polybius_Book21-2
Polybius,0.001474926,Polybius_Book21-3
Polybius,0.001474926,Polybius_Book21-4
Polybius,0.001474926,Polybius_Book21-5
Polybius,0.001474926,Polybius_Book21-6
Polybius,0.001474926,Polybius_Book21-7
Polybius,0.001474926,Polybius_Book21-8
Polybius,0.001474926,Polybius_Book21-9
Polybius,0.001474926,Polybius_Book9-1
Polybius,0.001474926,Polybius_Book9-10
Polybius,0.001474926,Polybius_Book9-11
Polybius,0.001474926,Polybius_Book9-12
Polybius,0.001474926,Polybius_Book9-13
Polybius,0.001474926,Polybius_Book9-14
Polybius,0.001474926,Polybius_Book9-15
Polybius,0.001474926,Polybius_Book9-2
Polybius,0.001474926,Polybius_Book9-3
Polybius,0.001474926,Polybius_Book9-4
Polybius,0.001474926,Polybius_Book9-5
Polybius,0.001474926,Polybius_Book9-6
Polybius,0.001474926,Polybius_Book9-7
Polybius,0.001474926,Polybius_Book9-8
Polybius,0.001474926,Polybius_Book9-9
Thucydides,0.005208333,Thucydides_Book1-1
Thucydides,0.005208333,Thucydides_Book1-10
Thucydides,0.005208333,Thucydides_Book1-11
Thucydides,0.005208333,Thucydides_Book1-12
Thucydides,0.005208333,Thucydides_Book1-13
Thucydides,0.005208333,Thucydides_Book1-14
Thucydides,0.005208333,Thucydides_Book1-15
Thucydides,0.005208333,Thucydides_Book1-16
Thucydides,0.005208333,Thucydides_Book1-17
Thucydides,0.005208333,Thucydides_Book1-18
Thucydides,0.005208333,Thucydides_Book1-19
Thucydides,0.005208333,Thucydides_Book1-2
Thucydides,0.005208333,Thucydides_Book1-20
Thucydides,0.005208333,Thucydides_Book1-21
Thucydides,0.005208333,Thucydides_Book1-22
Thucydides,0.005208333,Thucydides_Book1-23
Thucydides,0.005208333,Thucydides_Book1-24
Thucydides,0.005208333,Thucydides_Book1-25
Thucydides,0.005208333,Thucydides_Book1-26
Thucydides,0.005208333,Thucydides_Book1-27
Thucydides,0.005208333,Thucydides_Book1-28
Thucydides,0.005208333,Thucydides_Book1-29
Thucydides,0.005208333,Thucydides_Book1-3
Thucydides,0.005208333,Thucydides_Book1-30
Thucydides,0.005208333,Thucydides_Book1-31
Thucydides,0.005208333,Thucydides_Book1-32
Thucydides,0.005208333,Thucydides_Book1-4
Thucydides,0.005208333,Thucydides_Book1-5
Thucydides,0.005208333,Thucydides_Book1-6
Thucydides,0.005208333,Thucydides_Book1-7
Thucydides,0.005208333,Thucydides_Book1-8
Thucydides,0.005208333,Thucydides_Book1-9
