"","V1"
"166","Aeschylus_Agamemnon-166"
"167","Aeschylus_Agamemnon-167"
"168","Aeschylus_Agamemnon-168"
"169","Aeschylus_Agamemnon-169"
"170","Aeschylus_Agamemnon-170"
"171","Aeschylus_Agamemnon-171"
"172","Aeschylus_Agamemnon-172"
"173","Aeschylus_Agamemnon-173"
"174","Aeschylus_Agamemnon-174"
"175","Aeschylus_Agamemnon-175"
"176","Aeschylus_Agamemnon-176"
"177","Aeschylus_Agamemnon-177"
"178","Aeschylus_Agamemnon-178"
"179","Aeschylus_Agamemnon-179"
"180","Aeschylus_Agamemnon-180"
"181","Aeschylus_Agamemnon-181"
"182","Aeschylus_Agamemnon-182"
"183","Aeschylus_Agamemnon-183"
"184","Aeschylus_Agamemnon-184"
"185","Aeschylus_Agamemnon-185"
"186","Aeschylus_Agamemnon-186"
"187","Aeschylus_Agamemnon-187"
"188","Aeschylus_Agamemnon-188"
"189","Aeschylus_Agamemnon-189"
"190","Aeschylus_Agamemnon-190"
"191","Aeschylus_Agamemnon-191"
"192","Aeschylus_Agamemnon-192"
"193","Aeschylus_Agamemnon-193"
"194","Aeschylus_Agamemnon-194"
"195","Aeschylus_Agamemnon-195"
"196","Aeschylus_Agamemnon-196"
"197","Aeschylus_Agamemnon-197"
"198","Aeschylus_Agamemnon-198"
"199","Aeschylus_Agamemnon-199"
"200","Aeschylus_Agamemnon-200"
"201","Aeschylus_Agamemnon-201"
"202","Aeschylus_Agamemnon-202"
"203","Aeschylus_Agamemnon-203"
"204","Aeschylus_Agamemnon-204"
"205","Aeschylus_Agamemnon-205"
"206","Aeschylus_Agamemnon-206"
"207","Aeschylus_Agamemnon-207"
"208","Aeschylus_Agamemnon-208"
"209","Aeschylus_Agamemnon-209"
"210","Aeschylus_Agamemnon-210"
"211","Aeschylus_Agamemnon-211"
"212","Aeschylus_Agamemnon-212"
"213","Aeschylus_Agamemnon-213"
"214","Aeschylus_Agamemnon-214"
"215","Aeschylus_Agamemnon-215"
"216","Aeschylus_Agamemnon-216"
"217","Aeschylus_Agamemnon-217"
"218","Aeschylus_Agamemnon-218"
"219","Aeschylus_Agamemnon-219"
"220","Aeschylus_Agamemnon-220"
"221","Aeschylus_Agamemnon-221"
"222","Aeschylus_Agamemnon-222"
"223","Aeschylus_Agamemnon-223"
"224","Aeschylus_Agamemnon-224"
"225","Aeschylus_Agamemnon-225"
"226","Aeschylus_Agamemnon-226"
"227","Aeschylus_Agamemnon-227"
"228","Aeschylus_Agamemnon-228"
"229","Aeschylus_Agamemnon-229"
"230","Aeschylus_Agamemnon-230"
"231","Aeschylus_Agamemnon-231"
"232","Aeschylus_Agamemnon-232"
"233","Aeschylus_Agamemnon-233"
"234","Aeschylus_Agamemnon-234"
"235","Aeschylus_Agamemnon-235"
"236","Aeschylus_Agamemnon-236"
"237","Aeschylus_Agamemnon-237"
"238","Aeschylus_Agamemnon-238"
"239","Aeschylus_Agamemnon-239"
"240","Aeschylus_Ch-1"
"241","Aeschylus_Ch-2"
"242","Aeschylus_Ch-3"
"243","Aeschylus_Ch-4"
"244","Aeschylus_Ch-5"
"245","Aeschylus_Ch-6"
"246","Aeschylus_Ch-7"
"247","Aeschylus_Ch-8"
"248","Aeschylus_Ch-9"
"249","Aeschylus_Ch-10"
"250","Aeschylus_Ch-11"
"251","Aeschylus_Ch-12"
"252","Aeschylus_Ch-13"
"253","Aeschylus_Ch-14"
"254","Aeschylus_Ch-15"
"255","Aeschylus_Ch-16"
"256","Aeschylus_Ch-17"
"257","Aeschylus_Ch-18"
"258","Aeschylus_Ch-19"
"259","Aeschylus_Ch-20"
"260","Aeschylus_Ch-21"
"261","Aeschylus_Ch-22"
"262","Aeschylus_Ch-23"
"263","Aeschylus_Ch-24"
"264","Aeschylus_Ch-25"
"265","Aeschylus_Ch-26"
"266","Aeschylus_Ch-27"
"267","Aeschylus_Ch-28"
"268","Aeschylus_Ch-29"
"269","Aeschylus_Ch-30"
"270","Aeschylus_Ch-31"
"271","Aeschylus_Ch-32"
"272","Aeschylus_Ch-33"
"273","Aeschylus_Ch-34"
"274","Aeschylus_Ch-35"
"275","Aeschylus_Ch-36"
"276","Aeschylus_Ch-37"
"277","Aeschylus_Ch-38"
"278","Aeschylus_Ch-39"
"279","Aeschylus_Ch-40"
"280","Aeschylus_Ch-41"
"281","Aeschylus_Ch-42"
"282","Aeschylus_Ch-43"
"283","Aeschylus_Ch-44"
"284","Aeschylus_Ch-45"
"285","Aeschylus_Ch-46"
"286","Aeschylus_Ch-47"
"287","Aeschylus_Ch-48"
"288","Aeschylus_Ch-49"
"289","Aeschylus_Ch-50"
"290","Aeschylus_Ch-51"
"291","Aeschylus_Ch-52"
"292","Aeschylus_Ch-53"
"293","Aeschylus_Ch-54"
"294","Aeschylus_Ch-55"
"295","Aeschylus_Ch-56"
"296","Aeschylus_Ch-57"
"297","Aeschylus_Ch-58"
"298","Aeschylus_Ch-59"
"299","Aeschylus_Ch-60"
"300","Aeschylus_Ch-61"
"301","Aeschylus_Ch-62"
"302","Aeschylus_Ch-63"
"303","Aeschylus_Ch-64"
"304","Aeschylus_Ch-65"
"305","Aeschylus_Ch-66"
"306","Aeschylus_Ch-67"
"307","Aeschylus_Ch-68"
"308","Aeschylus_Ch-69"
"309","Aeschylus_Ch-70"
"310","Aeschylus_Ch-71"
"311","Aeschylus_Ch-72"
"312","Aeschylus_Ch-73"
"313","Aeschylus_Ch-74"
"314","Aeschylus_Ch-75"
"315","Aeschylus_Ch-76"
"316","Aeschylus_Ch-77"
"317","Aeschylus_Ch-78"
"318","Aeschylus_Ch-79"
"319","Aeschylus_Ch-80"
"320","Aeschylus_Ch-81"
"321","Aeschylus_Ch-82"
"322","Aeschylus_Ch-83"
"323","Aeschylus_Ch-84"
"324","Aeschylus_Ch-85"
"325","Aeschylus_Ch-86"
"326","Aeschylus_Ch-87"
"327","Aeschylus_Ch-88"
"328","Aeschylus_Ch-89"
"329","Aeschylus_Ch-90"
"330","Aeschylus_Ch-91"
"331","Aeschylus_Ch-92"
"332","Aeschylus_Ch-93"
"333","Aeschylus_Ch-94"
"334","Aeschylus_Ch-95"
"335","Aeschylus_Ch-96"
"336","Aeschylus_Ch-97"
"337","Aeschylus_Ch-98"
"338","Aeschylus_Ch-99"
"339","Aeschylus_Ch-100"
"340","Aeschylus_Ch-101"
"341","Aeschylus_Ch-102"
"342","Aeschylus_Ch-103"
"343","Aeschylus_Ch-104"
"344","Aeschylus_Ch-105"
"345","Aeschylus_Ch-106"
"346","Aeschylus_Ch-107"
"347","Aeschylus_Ch-108"
"348","Aeschylus_Ch-109"
"349","Aeschylus_Ch-110"
"350","Aeschylus_Ch-111"
"351","Aeschylus_Ch-112"
"352","Aeschylus_Ch-113"
"353","Aeschylus_Ch-114"
"354","Aeschylus_Ch-115"
"355","Aeschylus_Ch-116"
"356","Aeschylus_Ch-117"
"357","Aeschylus_Ch-118"
"358","Aeschylus_Ch-119"
"359","Aeschylus_Ch-120"
"360","Aeschylus_Ch-121"
"361","Aeschylus_Ch-122"
"362","Aeschylus_Ch-123"
"363","Aeschylus_Ch-124"
"364","Aeschylus_Ch-125"
"365","Aeschylus_Ch-126"
"366","Aeschylus_Ch-127"
"367","Aeschylus_Ch-128"
"368","Aeschylus_Ch-129"
"369","Aeschylus_Ch-130"
"370","Aeschylus_Ch-131"
"371","Aeschylus_Ch-132"
"372","Aeschylus_Ch-133"
"373","Aeschylus_Ch-134"
"374","Aeschylus_Ch-135"
"375","Aeschylus_Ch-136"
"376","Aeschylus_Ch-137"
"377","Aeschylus_Ch-138"
"378","Aeschylus_Eumenides-1"
"379","Aeschylus_Eumenides-2"
"380","Aeschylus_Eumenides-3"
"381","Aeschylus_Eumenides-4"
"382","Aeschylus_Eumenides-5"
"383","Aeschylus_Eumenides-6"
"384","Aeschylus_Eumenides-7"
"385","Aeschylus_Eumenides-8"
"386","Aeschylus_Eumenides-9"
"387","Aeschylus_Eumenides-10"
"388","Aeschylus_Eumenides-11"
"389","Aeschylus_Eumenides-12"
"390","Aeschylus_Eumenides-13"
"391","Aeschylus_Eumenides-14"
"392","Aeschylus_Eumenides-15"
"393","Aeschylus_Eumenides-16"
"394","Aeschylus_Eumenides-17"
"395","Aeschylus_Eumenides-18"
"396","Aeschylus_Eumenides-19"
"397","Aeschylus_Eumenides-20"
"398","Aeschylus_Eumenides-21"
"399","Aeschylus_Eumenides-22"
"400","Aeschylus_Eumenides-23"
"401","Aeschylus_Eumenides-24"
"402","Aeschylus_Eumenides-25"
"403","Aeschylus_Eumenides-26"
"404","Aeschylus_Eumenides-27"
"405","Aeschylus_Eumenides-28"
"406","Aeschylus_Eumenides-29"
"407","Aeschylus_Eumenides-30"
"408","Aeschylus_Eumenides-31"
"409","Aeschylus_Eumenides-32"
"410","Aeschylus_Eumenides-33"
"411","Aeschylus_Eumenides-34"
"412","Aeschylus_Eumenides-35"
"413","Aeschylus_Eumenides-36"
"414","Aeschylus_Eumenides-37"
"415","Aeschylus_Eumenides-38"
"416","Aeschylus_Eumenides-39"
"417","Aeschylus_Eumenides-40"
"418","Aeschylus_Eumenides-41"
"419","Aeschylus_Eumenides-42"
"420","Aeschylus_Eumenides-43"
"421","Aeschylus_Eumenides-44"
"422","Aeschylus_Eumenides-45"
"423","Aeschylus_Eumenides-46"
"424","Aeschylus_Eumenides-47"
"425","Aeschylus_Eumenides-48"
"426","Aeschylus_Eumenides-49"
"427","Aeschylus_Eumenides-50"
"428","Aeschylus_Eumenides-51"
"429","Aeschylus_Eumenides-52"
"430","Aeschylus_Eumenides-53"
"431","Aeschylus_Eumenides-54"
"432","Aeschylus_Eumenides-55"
"433","Aeschylus_Eumenides-56"
"434","Aeschylus_Eumenides-57"
"435","Aeschylus_Eumenides-58"
"436","Aeschylus_Eumenides-59"
"437","Aeschylus_Eumenides-60"
"438","Aeschylus_Eumenides-61"
"439","Aeschylus_Eumenides-62"
"440","Aeschylus_Eumenides-63"
"441","Aeschylus_Eumenides-64"
"442","Aeschylus_Eumenides-65"
"443","Aeschylus_Eumenides-66"
"444","Aeschylus_Eumenides-67"
"445","Aeschylus_Eumenides-68"
"446","Aeschylus_Eumenides-69"
"447","Aeschylus_Eumenides-70"
"448","Aeschylus_Eumenides-71"
"449","Aeschylus_Eumenides-72"
"450","Aeschylus_Eumenides-73"
"451","Aeschylus_Eumenides-74"
"452","Aeschylus_Eumenides-75"
"453","Aeschylus_Eumenides-76"
"454","Aeschylus_Eumenides-77"
"455","Aeschylus_Eumenides-78"
"456","Aeschylus_Eumenides-79"
"457","Aeschylus_Eumenides-80"
"458","Aeschylus_Eumenides-81"
"459","Aeschylus_Eumenides-82"
"460","Aeschylus_Eumenides-83"
"461","Aeschylus_Eumenides-84"
"462","Aeschylus_Eumenides-85"
"463","Aeschylus_Eumenides-86"
"464","Aeschylus_Eumenides-87"
"465","Aeschylus_Eumenides-88"
"466","Aeschylus_Eumenides-89"
"467","Aeschylus_Eumenides-90"
"468","Aeschylus_Eumenides-91"
"469","Aeschylus_Eumenides-92"
"470","Aeschylus_Eumenides-93"
"471","Aeschylus_Eumenides-94"
"472","Aeschylus_Eumenides-95"
"473","Aeschylus_Eumenides-96"
"474","Aeschylus_Eumenides-97"
"475","Aeschylus_Eumenides-98"
"476","Aeschylus_Eumenides-99"
"477","Aeschylus_Eumenides-100"
"478","Aeschylus_Eumenides-101"
"479","Aeschylus_Eumenides-102"
"480","Aeschylus_Eumenides-103"
"481","Aeschylus_Eumenides-104"
"482","Aeschylus_Eumenides-105"
"483","Aeschylus_Eumenides-106"
"484","Aeschylus_Eumenides-107"
"485","Aeschylus_Eumenides-108"
"486","Aeschylus_Eumenides-109"
"487","Aeschylus_Eumenides-110"
"488","Aeschylus_Eumenides-111"
"489","Aeschylus_Eumenides-112"
"490","Aeschylus_Eumenides-113"
"491","Aeschylus_Eumenides-114"
"492","Aeschylus_Eumenides-115"
"493","Aeschylus_Eumenides-116"
"494","Aeschylus_Eumenides-117"
"495","Aeschylus_Eumenides-118"
"496","Aeschylus_Eumenides-119"
"497","Aeschylus_Eumenides-120"
"498","Aeschylus_Eumenides-121"
"499","Aeschylus_Eumenides-122"
"500","Aeschylus_Eumenides-123"
"501","Aeschylus_Eumenides-124"
"502","Aeschylus_Eumenides-125"
"503","Aeschylus_Eumenides-126"
"504","Aeschylus_Eumenides-127"
"505","Aeschylus_Eumenides-128"
"506","Aeschylus_Eumenides-129"
"507","Aeschylus_Eumenides-130"
"508","Aeschylus_Eumenides-131"
"509","Aeschylus_Eumenides-132"
"510","Aeschylus_Eumenides-133"
"511","Aeschylus_Eumenides-134"
"512","Aeschylus_Eumenides-135"
"513","Aeschylus_Eumenides-136"
"514","Aeschylus_Eumenides-137"
"515","Aeschylus_Eumenides-138"
"516","Aeschylus_Eumenides-139"
"517","Aeschylus_Eumenides-140"
"518","Aeschylus_Eumenides-141"
"519","Aeschylus_Eumenides-142"
"520","Aeschylus_Eumenides-143"
"521","Aeschylus_Eumenides-144"
"522","Aeschylus_Eumenides-145"
"523","Aeschylus_Eumenides-146"
"524","Aeschylus_Eumenides-147"
"525","Aeschylus_Eumenides-148"
"526","Aeschylus_Eumenides-149"
"527","Aeschylus_Eumenides-150"
"528","Aeschylus_Eumenides-151"
"529","Aeschylus_Eumenides-152"
"530","Aeschylus_Eumenides-153"
"531","Aeschylus_Eumenides-154"
"532","Aeschylus_Persians-1"
"533","Aeschylus_Persians-2"
"534","Aeschylus_Persians-3"
"535","Aeschylus_Persians-4"
"536","Aeschylus_Persians-5"
"537","Aeschylus_Persians-6"
"538","Aeschylus_Persians-7"
"539","Aeschylus_Persians-8"
"540","Aeschylus_Persians-9"
"541","Aeschylus_Persians-10"
"542","Aeschylus_Persians-11"
"543","Aeschylus_Persians-12"
"544","Aeschylus_Persians-13"
"545","Aeschylus_Persians-14"
"546","Aeschylus_Persians-15"
"547","Aeschylus_Persians-16"
"548","Aeschylus_Persians-17"
"549","Aeschylus_Persians-18"
"550","Aeschylus_Persians-19"
"551","Aeschylus_Persians-20"
"552","Aeschylus_Persians-21"
"553","Aeschylus_Persians-22"
"554","Aeschylus_Persians-23"
"555","Aeschylus_Persians-24"
"556","Aeschylus_Persians-25"
"557","Aeschylus_Persians-26"
"558","Aeschylus_Persians-27"
"559","Aeschylus_Persians-28"
"560","Aeschylus_Persians-29"
"561","Aeschylus_Persians-30"
"562","Aeschylus_Persians-31"
"563","Aeschylus_Persians-32"
"564","Aeschylus_Persians-33"
"565","Aeschylus_Persians-34"
"566","Aeschylus_Persians-35"
"567","Aeschylus_Persians-36"
"568","Aeschylus_Persians-37"
"569","Aeschylus_Persians-38"
"570","Aeschylus_Persians-39"
"571","Aeschylus_Persians-40"
"572","Aeschylus_Persians-41"
"573","Aeschylus_Persians-42"
"574","Aeschylus_Persians-43"
"575","Aeschylus_Persians-44"
"576","Aeschylus_Persians-45"
"577","Aeschylus_Persians-46"
"578","Aeschylus_Persians-47"
"579","Aeschylus_Persians-48"
"580","Aeschylus_Persians-49"
"581","Aeschylus_Persians-50"
"582","Aeschylus_Persians-51"
"583","Aeschylus_Persians-52"
"584","Aeschylus_Persians-53"
"585","Aeschylus_Persians-54"
"586","Aeschylus_Persians-55"
"587","Aeschylus_Persians-56"
"588","Aeschylus_Persians-57"
"589","Aeschylus_Persians-58"
"590","Aeschylus_Persians-59"
"591","Aeschylus_Persians-60"
"592","Aeschylus_Persians-61"
"593","Aeschylus_Persians-62"
"594","Aeschylus_Persians-63"
"595","Aeschylus_Persians-64"
"596","Aeschylus_Persians-65"
"597","Aeschylus_Persians-66"
"598","Aeschylus_Persians-67"
"599","Aeschylus_Persians-68"
"600","Aeschylus_Persians-69"
"601","Aeschylus_Persians-70"
"602","Aeschylus_Persians-71"
"603","Aeschylus_Persians-72"
"604","Aeschylus_Persians-73"
"605","Aeschylus_Persians-74"
"606","Aeschylus_Persians-75"
"607","Aeschylus_Persians-76"
"608","Aeschylus_Persians-77"
"609","Aeschylus_Persians-78"
"610","Aeschylus_Persians-79"
"611","Aeschylus_Persians-80"
"612","Aeschylus_Persians-81"
"613","Aeschylus_Persians-82"
"614","Aeschylus_Persians-83"
"615","Aeschylus_Persians-84"
"616","Aeschylus_Persians-85"
"617","Aeschylus_Persians-86"
"618","Aeschylus_Persians-87"
"619","Aeschylus_Persians-88"
"620","Aeschylus_Persians-89"
"621","Aeschylus_Persians-90"
"622","Aeschylus_Persians-91"
"623","Aeschylus_Persians-92"
"624","Aeschylus_Persians-93"
"625","Aeschylus_Persians-94"
"626","Aeschylus_Persians-95"
"627","Aeschylus_Persians-96"
"628","Aeschylus_Persians-97"
"629","Aeschylus_Persians-98"
"630","Aeschylus_Persians-99"
"631","Aeschylus_Persians-100"
"632","Aeschylus_Persians-101"
"633","Aeschylus_Persians-102"
"634","Aeschylus_Persians-103"
"635","Aeschylus_Persians-104"
"636","Aeschylus_Persians-105"
"637","Aeschylus_Persians-106"
"638","Aeschylus_Persians-107"
"639","Aeschylus_Persians-108"
"640","Aeschylus_Persians-109"
"641","Aeschylus_Persians-110"
"642","Aeschylus_Persians-111"
"643","Aeschylus_Persians-112"
"644","Aeschylus_Persians-113"
"645","Aeschylus_Persians-114"
"646","Aeschylus_Persians-115"
"647","Aeschylus_Persians-116"
"648","Aeschylus_Persians-117"
"649","Aeschylus_Persians-118"
"650","Aeschylus_Persians-119"
"651","Aeschylus_Persians-120"
"652","Aeschylus_Persians-121"
"653","Aeschylus_Persians-122"
"654","Aeschylus_Persians-123"
"655","Aeschylus_Persians-124"
"656","Aeschylus_Persians-125"
"657","Aeschylus_Persians-126"
"658","Aeschylus_Persians-127"
"659","Aeschylus_Persians-128"
"660","Aeschylus_Persians-129"
"661","Aeschylus_Persians-130"
"662","Aeschylus_Persians-131"
"663","Aeschylus_Persians-132"
"664","Aeschylus_Persians-133"
"665","Aeschylus_Persians-134"
"666","Aeschylus_Persians-135"
"667","Aeschylus_Persians-136"
"668","Aeschylus_Persians-137"
"669","Aeschylus_Persians-138"
"670","Aeschylus_Persians-139"
"671","Aeschylus_Persians-140"
"672","Aeschylus_Persians-141"
"673","Aeschylus_Persians-142"
"674","Aeschylus_Persians-143"
"675","Aeschylus_Persians-144"
"676","Aeschylus_Persians-145"
"677","Aeschylus_Persians-146"
"678","Aeschylus_Persians-147"
"679","Aeschylus_Persians-148"
"680","Aeschylus_Persians-149"
"681","Aeschylus_Prometheus-1"
"682","Aeschylus_Prometheus-2"
"683","Aeschylus_Prometheus-3"
"684","Aeschylus_Prometheus-4"
"685","Aeschylus_Prometheus-5"
"686","Aeschylus_Prometheus-6"
"687","Aeschylus_Prometheus-7"
"688","Aeschylus_Prometheus-8"
"689","Aeschylus_Prometheus-9"
"690","Aeschylus_Prometheus-10"
"691","Aeschylus_Prometheus-11"
"692","Aeschylus_Prometheus-12"
"693","Aeschylus_Prometheus-13"
"694","Aeschylus_Prometheus-14"
"695","Aeschylus_Prometheus-15"
"696","Aeschylus_Prometheus-16"
"697","Aeschylus_Prometheus-17"
"698","Aeschylus_Prometheus-18"
"699","Aeschylus_Prometheus-19"
"700","Aeschylus_Prometheus-20"
"701","Aeschylus_Prometheus-21"
"702","Aeschylus_Prometheus-22"
"703","Aeschylus_Prometheus-23"
"704","Aeschylus_Prometheus-24"
"705","Aeschylus_Prometheus-25"
"706","Aeschylus_Prometheus-26"
"707","Aeschylus_Prometheus-27"
"708","Aeschylus_Prometheus-28"
"709","Aeschylus_Prometheus-29"
"710","Aeschylus_Prometheus-30"
"711","Aeschylus_Prometheus-31"
"712","Aeschylus_Prometheus-32"
"713","Aeschylus_Prometheus-33"
"714","Aeschylus_Prometheus-34"
"715","Aeschylus_Prometheus-35"
"716","Aeschylus_Prometheus-36"
"717","Aeschylus_Prometheus-37"
"718","Aeschylus_Prometheus-38"
"719","Aeschylus_Prometheus-39"
"720","Aeschylus_Prometheus-40"
"721","Aeschylus_Prometheus-41"
"722","Aeschylus_Prometheus-42"
"723","Aeschylus_Prometheus-43"
"724","Aeschylus_Prometheus-44"
"725","Aeschylus_Prometheus-45"
"726","Aeschylus_Prometheus-46"
"727","Aeschylus_Prometheus-47"
"728","Aeschylus_Prometheus-48"
"729","Aeschylus_Prometheus-49"
"730","Aeschylus_Prometheus-50"
"731","Aeschylus_Prometheus-51"
"732","Aeschylus_Prometheus-52"
"733","Aeschylus_Prometheus-53"
"734","Aeschylus_Prometheus-54"
"735","Aeschylus_Prometheus-55"
"736","Aeschylus_Prometheus-56"
"737","Aeschylus_Prometheus-57"
"738","Aeschylus_Prometheus-58"
"739","Aeschylus_Prometheus-59"
"740","Aeschylus_Prometheus-60"
"741","Aeschylus_Prometheus-61"
"742","Aeschylus_Prometheus-62"
"743","Aeschylus_Prometheus-63"
"744","Aeschylus_Prometheus-64"
"745","Aeschylus_Prometheus-65"
"746","Aeschylus_Prometheus-66"
"747","Aeschylus_Prometheus-67"
"748","Aeschylus_Prometheus-68"
"749","Aeschylus_Prometheus-69"
"750","Aeschylus_Prometheus-70"
"751","Aeschylus_Prometheus-71"
"752","Aeschylus_Prometheus-72"
"753","Aeschylus_Prometheus-73"
